"taxon","gaps","Ns","alignment_length","non_gap_non_N"
"Antipathes_caribbeana",3432,21,4700,1247
"Cerebratulus_sp",1767,0,4700,2933
"Golfingia_vulgaris",2199,0,4700,2501
"Grantia_compressa",2384,155,4700,2161
"Homo_sapiens",294,0,4700,4406
"Latimeria_chalumnae",429,0,4700,4271
"Lepisosteus_oculatus",555,0,4700,4145
"Leptochiton_rugatus",567,0,4700,4133
"Macrostomum_lignano",1884,0,4700,2816
"Novocrania_anomala",3962,0,4700,738
"Parhyale_sp.",600,0,4700,4100
"Petromyzon_marinus",2553,0,4700,2147
"Plakina_jani",2504,56,4700,2140
"Plumapathes_pennacea",1326,1,4700,3373
"Priapulus_sp",3963,0,4700,737
"Ptychodera_flava",3180,0,4700,1520
"Rhabdopleura_sp",3615,0,4700,1085
"Strigamia_maritima",624,0,4700,4076
"Strongylocentrotus_purpuratus",545,0,4700,4155
"Tribolium_castaneum",732,0,4700,3968
"Xenopus_tropicalis",405,0,4700,4295
"Xenoturbella_bocki",3011,0,4700,1689
